Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -7.790655 0.0 -24.3708 15.1198 -94.6722 489.093 -2994.99 490.528 -3092.94 0.0 490.528 -3092.94 -43.9002 -24.3708 -2670.6829 6.96661 6.96661
0 1 -7.790655 0.0 -24.3708 15.1198 -94.6722 489.093 -2994.99 490.528 -3092.94 0.0 490.528 -3092.94 -43.9002 -24.3708 -2670.6829 6.96661 6.96661
0 2 -7.7056575 0.0 -18.4255 15.1682 -96.4326 489.093 -2994.99 490.252 -3102.0 0.0 490.252 -3102.0 -40.5036 -18.4255 -2670.6772 6.3669 6.3669
0 3 -7.7056575 0.0 -18.4255 15.1682 -96.4326 489.093 -2994.99 490.252 -3102.0 0.0 490.252 -3102.0 -40.5036 -18.4255 -2670.6772 6.3669 6.3669
0 4 -7.499953 0.0 -13.1421 15.1878 -96.3672 489.093 -2994.99 490.168 -3106.58 0.0 490.168 -3106.58 -39.3208 -13.1421 -2668.875 7.9248 7.9248
0 5 -7.499953 0.0 -13.1421 15.1878 -96.3672 489.093 -2994.99 490.168 -3106.58 0.0 490.168 -3106.58 -39.3208 -13.1421 -2668.875 7.9248 7.9248
0 6 -7.499953 0.0 -13.1421 15.1878 -96.3672 489.093 -2994.99 490.168 -3106.58 0.0 490.168 -3106.58 -39.3208 -13.1421 -2668.875 7.9248 7.9248
0 7 -7.499953 0.0 -13.1421 15.1878 -96.3672 489.093 -2994.99 490.168 -3106.58 0.0 490.168 -3106.58 -39.3208 -13.1421 -2668.875 7.9248 7.9248
1 0 -6.9490175 0.0 -17.1921 15.0352 -78.5243 489.093 -2994.99 490.42 -3074.1 0.0 490.42 -3074.1 -65.5734 -17.1921 -2666.4458 6.00423 6.00423
1 1 -6.9490175 0.0 -17.1921 15.0352 -78.5243 489.093 -2994.99 490.42 -3074.1 0.0 490.42 -3074.1 -65.5734 -17.1921 -2666.4458 6.00423 6.00423
1 2 -6.9490175 0.0 -17.1921 15.0352 -78.5243 489.093 -2994.99 490.42 -3074.1 0.0 490.42 -3074.1 -65.5734 -17.1921 -2666.4458 6.00423 6.00423
1 3 -6.9490175 0.0 -17.1921 15.0352 -78.5243 489.093 -2994.99 490.42 -3074.1 0.0 490.42 -3074.1 -65.5734 -17.1921 -2666.4458 6.00423 6.00423
1 4 -6.9490175 0.0 -17.1921 15.0352 -78.5243 489.093 -2994.99 490.42 -3074.1 0.0 490.42 -3074.1 -65.5734 -17.1921 -2666.4458 6.00423 6.00423
1 5 -6.951876 0.0 -17.2989 15.0451 -78.5431 489.093 -2994.99 490.449 -3074.03 0.0 490.449 -3074.03 -65.005 -17.2989 -2665.885 6.16228 6.16228
1 6 -6.951876 0.0 -17.2989 15.0451 -78.5431 489.093 -2994.99 490.449 -3074.03 0.0 490.449 -3074.03 -65.005 -17.2989 -2665.885 6.16228 6.16228
1 7 -6.9343443 0.0 -17.1568 15.0481 -78.7209 489.093 -2994.99 490.432 -3074.11 0.0 490.432 -3074.11 -64.8112 -17.1568 -2665.646 6.17788 6.17788
2 0 -9.117015 0.0 -66.8006 15.5164 -87.0831 489.093 -2994.99 491.075 -3041.67 0.0 491.075 -3041.67 -48.8821 -66.8006 -2666.2776 3.34652 3.34652
2 1 -9.117015 0.0 -66.8006 15.5164 -87.0831 489.093 -2994.99 491.075 -3041.67 0.0 491.075 -3041.67 -48.8821 -66.8006 -2666.2776 3.34652 3.34652
2 2 -9.117015 0.0 -66.8006 15.5164 -87.0831 489.093 -2994.99 491.075 -3041.67 0.0 491.075 -3041.67 -48.8821 -66.8006 -2666.2776 3.34652 3.34652
2 3 -9.117015 0.0 -66.8006 15.5164 -87.0831 489.093 -2994.99 491.075 -3041.67 0.0 491.075 -3041.67 -48.8821 -66.8006 -2666.2776 3.34652 3.34652
2 4 -9.139925 0.0 -67.25 15.5437 -87.0827 489.093 -2994.99 491.161 -3041.44 0.0 491.161 -3041.44 -48.7279 -67.25 -2666.2568 3.43985 3.43985
2 5 -9.139925 0.0 -67.25 15.5437 -87.0827 489.093 -2994.99 491.161 -3041.44 0.0 491.161 -3041.44 -48.7279 -67.25 -2666.2568 3.43985 3.43985
2 6 -9.139009 0.0 -67.8593 15.5853 -87.2858 489.093 -2994.99 491.205 -3040.69 0.0 491.205 -3040.69 -48.8974 -67.8593 -2666.2415 3.48137 3.48137
2 7 -9.139009 0.0 -67.8593 15.5853 -87.2858 489.093 -2994.99 491.205 -3040.69 0.0 491.205 -3040.69 -48.8974 -67.8593 -2666.2415 3.48137 3.48137
3 0 -8.602257 0.0 -51.8982 14.7677 -82.5002 489.093 -2994.99 488.32 -3048.61 0.0 488.32 -3048.61 -52.8123 -51.8982 -2665.0005 -9.05596 -9.05596
3 1 -8.652151 0.0 -53.2076 14.696 -82.3681 489.093 -2994.99 488.197 -3047.19 0.0 488.197 -3047.19 -52.6655 -53.2076 -2664.866 -9.87196 -9.87196
3 2 -8.652151 0.0 -53.2076 14.696 -82.3681 489.093 -2994.99 488.197 -3047.19 0.0 488.197 -3047.19 -52.6655 -53.2076 -2664.866 -9.87196 -9.87196
3 3 -8.586025 0.0 -52.3213 14.6688 -81.8797 489.093 -2994.99 488.195 -3047.03 0.0 488.195 -3047.03 -53.0478 -52.3213 -2664.204 -9.53972 -9.53972
3 4 -8.586025 0.0 -52.3213 14.6688 -81.8797 489.093 -2994.99 488.195 -3047.03 0.0 488.195 -3047.03 -53.0478 -52.3213 -2664.204 -9.53972 -9.53972
