Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -7.6508617 0.0 -47.5868 8.66843 -15.6176 60.3271 -331.691 61.3596 -321.766 0.0 61.3596 -321.766 26.5784 -47.5868 -281.4148 33.0762 33.0762
0 1 -7.6508617 0.0 -47.5868 8.66843 -15.6176 60.3271 -331.691 61.3596 -321.766 0.0 61.3596 -321.766 26.5784 -47.5868 -281.4148 33.0762 33.0762
0 2 -7.572697 0.0 -46.4683 8.67745 -15.5249 60.3271 -331.691 61.3479 -322.093 0.0 61.3479 -322.093 26.5375 -46.4683 -280.67587 33.644 33.644
0 3 -7.572697 0.0 -46.4683 8.67745 -15.5249 60.3271 -331.691 61.3479 -322.093 0.0 61.3479 -322.093 26.5375 -46.4683 -280.67587 33.644 33.644
0 4 -7.572697 0.0 -46.4683 8.67745 -15.5249 60.3271 -331.691 61.3479 -322.093 0.0 61.3479 -322.093 26.5375 -46.4683 -280.67587 33.644 33.644
0 5 -7.572697 0.0 -46.4683 8.67745 -15.5249 60.3271 -331.691 61.3479 -322.093 0.0 61.3479 -322.093 26.5375 -46.4683 -280.67587 33.644 33.644
0 6 -7.1562333 0.0 -41.6799 8.65702 -15.3391 60.3271 -331.691 61.2596 -322.399 0.0 61.2596 -322.399 25.7219 -41.6799 -277.09738 35.6938 35.6938
0 7 -7.1562333 0.0 -41.6799 8.65702 -15.3391 60.3271 -331.691 61.2596 -322.399 0.0 61.2596 -322.399 25.7219 -41.6799 -277.09738 35.6938 35.6938
1 0 -7.514375 0.0 -44.2323 8.50224 -13.5878 60.3271 -331.691 62.0718 -324.049 0.0 62.0718 -324.049 24.9872 -44.2323 -281.2223 32.8966 32.8966
1 1 -7.514375 0.0 -44.2323 8.50224 -13.5878 60.3271 -331.691 62.0718 -324.049 0.0 62.0718 -324.049 24.9872 -44.2323 -281.2223 32.8966 32.8966
1 2 -7.514375 0.0 -44.2323 8.50224 -13.5878 60.3271 -331.691 62.0718 -324.049 0.0 62.0718 -324.049 24.9872 -44.2323 -281.2223 32.8966 32.8966
1 3 -7.514375 0.0 -44.2323 8.50224 -13.5878 60.3271 -331.691 62.0718 -324.049 0.0 62.0718 -324.049 24.9872 -44.2323 -281.2223 32.8966 32.8966
1 4 -7.514375 0.0 -44.2323 8.50224 -13.5878 60.3271 -331.691 62.0718 -324.049 0.0 62.0718 -324.049 24.9872 -44.2323 -281.2223 32.8966 32.8966
