Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -8.229374 0.0 -46.372 8.73826 -15.4121 518.935 -3087.21 516.738 -3083.31 0.0 516.738 -3083.31 26.2339 -46.372 -2586.7102 19.8784 19.8784
0 1 -7.9305325 0.0 -45.2518 8.91966 -15.0844 518.935 -3087.21 516.88 -3079.77 0.0 516.88 -3079.77 26.2811 -45.2518 -2581.8608 23.9727 23.9727
0 2 -8.282902 0.0 -47.8683 9.08345 -13.3137 518.935 -3087.21 516.848 -3079.41 0.0 516.848 -3079.41 29.6831 -47.8683 -2580.747 26.2643 26.2643
0 3 -8.286316 0.0 -47.9254 9.08628 -13.3185 518.935 -3087.21 516.843 -3079.37 0.0 516.843 -3079.37 29.7444 -47.9254 -2580.708 26.2714 26.2714
0 4 -7.7428827 0.0 -42.6458 8.97837 -13.4976 518.935 -3087.21 516.903 -3079.09 0.0 516.903 -3079.09 29.2193 -42.6458 -2575.6135 32.4949 32.4949
0 5 -7.9337754 0.0 -43.5236 8.96315 -12.8535 518.935 -3087.21 516.863 -3080.17 0.0 516.863 -3080.17 32.2143 -43.5236 -2574.6162 35.0812 35.0812
0 6 -7.5843034 0.0 -38.0208 9.45301 -12.3956 518.935 -3087.21 516.785 -3081.63 0.0 516.785 -3081.63 38.0312 -38.0208 -2564.8345 43.5803 43.5803
0 7 -6.609196 0.0 -28.7912 9.12652 -15.9197 518.935 -3087.21 516.706 -3083.87 0.0 516.706 -3083.87 57.4374 -28.7912 -2538.5178 69.6218 69.6218
1 0 -8.60648 0.0 -49.7336 8.75256 -12.9168 518.935 -3087.21 516.215 -3080.95 0.0 516.215 -3080.95 29.5795 -49.7336 -2584.889 23.8817 23.8817
1 1 -8.6075735 0.0 -49.7548 8.75126 -12.929 518.935 -3087.21 516.209 -3080.94 0.0 516.209 -3080.94 29.5999 -49.7548 -2584.8857 23.8803 23.8803
1 2 -8.610042 0.0 -49.7732 8.75322 -12.9178 518.935 -3087.21 516.217 -3080.95 0.0 516.217 -3080.95 29.6303 -49.7732 -2584.8757 23.8832 23.8832
1 3 -8.505847 0.0 -52.5221 8.71461 -12.8994 518.935 -3087.21 516.062 -3074.8 0.0 516.062 -3074.8 32.8923 -52.5221 -2578.368 31.843 31.843
1 4 -8.121409 0.0 -42.9146 8.7859 -15.5721 518.935 -3087.21 516.035 -3085.89 0.0 516.035 -3085.89 36.2844 -42.9146 -2576.485 30.6157 30.6157
1 5 -7.9450793 0.0 -46.5707 8.68155 -12.7851 518.935 -3087.21 516.021 -3074.71 0.0 516.021 -3074.71 29.9269 -46.5707 -2575.3328 35.5595 35.5595
1 6 -7.723052 0.0 -43.7409 8.85052 -13.0469 518.935 -3087.21 516.023 -3075.46 0.0 516.023 -3075.46 35.4773 -43.7409 -2567.7007 42.3793 42.3793
1 7 -7.733384 0.0 -43.8319 8.85195 -13.0541 518.935 -3087.21 516.021 -3075.49 0.0 516.021 -3075.49 35.6208 -43.8319 -2567.6802 42.3979 42.3979
2 0 -8.09362 0.0 -45.5235 8.50871 -13.2574 518.935 -3087.21 516.134 -3079.67 0.0 516.134 -3079.67 26.2781 -45.5235 -2582.7812 25.0783 25.0783
2 1 -8.021677 0.0 -45.0043 8.5032 -13.2385 518.935 -3087.21 516.065 -3079.18 0.0 516.065 -3079.18 25.6117 -45.0043 -2582.5076 25.7897 25.7897
2 2 -7.8781605 0.0 -44.5186 8.49683 -13.7791 518.935 -3087.21 516.061 -3078.13 0.0 516.061 -3078.13 27.4237 -44.5186 -2579.1638 29.1529 29.1529
2 3 -7.9087343 0.0 -45.0125 8.50689 -13.7362 518.935 -3087.21 515.959 -3077.65 0.0 515.959 -3077.65 27.581 -45.0125 -2579.1223 29.6213 29.6213
2 4 -7.870165 0.0 -44.5039 8.50032 -13.794 518.935 -3087.21 516.073 -3078.05 0.0 516.073 -3078.05 27.6987 -44.5039 -2578.7822 29.3786 29.3786
2 5 -7.218634 0.0 -39.9764 8.42846 -13.4968 518.935 -3087.21 516.25 -3074.49 0.0 516.25 -3074.49 32.5187 -39.9764 -2565.6978 44.4066 44.4066
2 6 -6.255207 0.0 -30.4832 8.45411 -13.7517 518.935 -3087.21 516.239 -3073.62 0.0 516.239 -3073.62 32.9775 -30.4832 -2554.8867 53.3746 53.3746
3 0 -7.5073104 0.0 -33.5602 8.78947 -12.4701 518.935 -3087.21 518.359 -3090.8 0.0 518.359 -3090.8 23.7283 -33.5602 -2582.273 36.8633 36.8633
3 1 -7.5073104 0.0 -33.5602 8.78947 -12.4701 518.935 -3087.21 518.359 -3090.8 0.0 518.359 -3090.8 23.7283 -33.5602 -2582.273 36.8633 36.8633
